customer_id;date_inscription
CUST-2KYXXXW1NK7I;17/7/2023
CUST-NR43XRT2PXYG;7/9/2023
CUST-CH58P8PSVIYU;24/8/2021
CUST-CI7JQHW4TIYT;22/12/2021
CUST-3QHP3KL4NPP2;20/12/2020
CUST-24HVQPZX5YLL;26/8/2021
CUST-FTWLEOUVAAPD;6/8/2024
CUST-TA459CNFKWS7;15/6/2023
CUST-BBCH81JAM8HT;12/8/2023
CUST-IH6Q0NM4GJ76;10/7/2020
CUST-K4X5NRCDCT2R;8/3/2024
CUST-N2XACDNZOIRE;12/2/2023
CUST-HZNP2UZLT0N1;11/12/2020
CUST-U2FMDYLEAYF4;21/12/2022
CUST-T0WUQRZCFU4J;19/8/2022
CUST-0P9K9MICI4V3;14/8/2024
CUST-5WA4V8PAJBPS;19/2/2024
CUST-8WEWLATXXN7Z;27/7/2023
CUST-RQWQLWMV9LYD;1/5/2022
CUST-RUBU0VIX8PHM;10/3/2023
CUST-U979SENPJIZ4;20/10/2020
CUST-G855A5IWG3E7;8/1/2021
CUST-IQ2VD0Z4P23O;20/6/2023
CUST-PPKW5FTDO4YJ;31/7/2023
CUST-98A69EZZHF1X;27/3/2022
CUST-IITJR1HQF1KT;11/11/2023
CUST-UI6ZTWOV90XA;3/7/2023
CUST-BPNW6XNEK135;4/1/2020
CUST-1K5AP5CTJF8L;16/1/2020
CUST-Q0YC5GMIN1Q8;22/4/2023
CUST-MAXR3R0I03W8;5/6/2020
CUST-IAMG8R83TDVH;31/1/2023
CUST-ITNBOGNOPPNL;28/6/2020
CUST-TU8TRE0HYI4T;26/8/2023
CUST-EUI0W596FITT;30/11/2020
CUST-7J8401TD6HUA;16/5/2024
CUST-RMJH448WK6FC;1/4/2020
CUST-SKRGMY5QF2MU;21/6/2020
CUST-CIRXNF7L3LPZ;21/1/2020
CUST-6LPT9NVHLXAS;25/1/2020
CUST-1H1Q7HBI3TGY;21/1/2023
CUST-LQOWV80Y17PJ;26/5/2020
CUST-C3UJLHF0P9WF;1/5/2024
CUST-7BEENKHRH7Z9;28/3/2020
CUST-Y346TRL5BOV1;12/5/2023
CUST-8ZKMV3RL6IG8;7/5/2023
CUST-CBQ4AU4JDC6U;3/6/2023
CUST-R1LL9JZQUZ98;8/4/2024
CUST-VROCTXO872KO;4/6/2022
CUST-QA27AIPS7MOB;20/11/2022
CUST-4PDDW1N4IKUJ;2/1/2023
CUST-0HBUN7GQ9MLB;23/12/2021
CUST-5IV3802T8ZLZ;24/5/2020
CUST-B7RGZUXIGPZS;14/3/2024
CUST-TJ4FJM0BW1HC;12/4/2023
CUST-H1AGXQRXODCE;21/7/2024
CUST-US1JL2S6ZNRY;6/2/2021
CUST-YEMOC8C1CFMM;8/1/2024
CUST-EGIOL2A81CTG;17/9/2021
CUST-4BF8JATJWGUV;3/2/2022
CUST-E7GG3TOPDHLS;9/12/2021
CUST-XV9A1SH2UL84;3/1/2024
CUST-6RZGSN9ZQWJW;28/1/2020
CUST-WXUIK6191CJM;15/1/2024
CUST-TWIBOUNZO4CZ;30/3/2023
CUST-J5XV9Y6BAYJC;27/2/2021
CUST-TAKCQKNUYBBV;27/8/2021
CUST-IP3VVZS54Y9R;27/1/2024
CUST-BGI8TLN611YT;31/5/2024
CUST-UGDP9TNLIE6J;21/7/2024
CUST-M4VRY37N0AWK;23/8/2021
CUST-EOFUH09GHE77;21/5/2020
CUST-SZ9IS3Q1LBEP;14/8/2024
CUST-VLPF23IRUPWD;19/9/2023
CUST-XM8RRL5OAEFB;9/4/2024
CUST-A0XQKE1O6HFW;30/7/2021
CUST-2TFQQNW62X66;1/8/2023
CUST-FEC8O1JR9MO3;13/6/2022
CUST-4K0X2T5C2S8B;4/10/2021
CUST-5Y9E8NWLVUMV;10/9/2023
CUST-LGCCKXXKM94V;26/3/2022
CUST-E5DCOJX1KNU6;14/12/2022
CUST-L1NSG844O4TX;5/2/2023
CUST-S6NQ0FFZXKDJ;13/5/2022
CUST-TD9DPRKJITFB;18/4/2022
CUST-2AZPZMMRCE93;15/6/2021
CUST-G1126XA65X3A;5/11/2023
CUST-PTXRYW2UTIBE;2/6/2024
CUST-CQB4S7KWGQXT;29/7/2024
CUST-1ZDHXOZEMYZP;14/2/2021
CUST-VUDJSFA1QQMY;15/3/2024
CUST-09XGTC8T3PTU;25/2/2024
CUST-KXH7PQNYYJQG;9/1/2020
CUST-XTE68F57NK4T;9/11/2022
CUST-7H9ODYT4HY87;20/6/2022
CUST-W6PKR8270WAW;1/11/2022
CUST-AMDUNGJI6IWN;17/10/2022
CUST-0HMQXE0NAT8E;23/6/2024
CUST-Y5OA1VI96JN5;28/12/2021
CUST-R7V6MO5BWM8R;4/10/2020
CUST-9QIMN9DLBIKY;10/9/2021
CUST-NX93YCQG2UXF;6/12/2023
CUST-HTD5XDWB3BPD;12/8/2023
CUST-K7NLVJN9YROX;17/3/2021
CUST-8YIF5KNRBIHH;12/4/2024
CUST-Y91QO4HT4O3Z;16/4/2020
CUST-JRTX6KB1I3WJ;17/9/2020
CUST-72MDBI8K3N31;21/8/2022
CUST-8N1BEICC03L9;16/8/2023
CUST-MAP006L060GS;16/4/2023
CUST-OQNZSBHJV3E6;10/9/2023
CUST-UA7E4HH8ALP8;29/3/2022
CUST-00QETTAN10VF;22/10/2020
CUST-M9A1EOFPZJF3;6/7/2020
CUST-ZBRVG94X6KGN;26/9/2023
CUST-AABLXXVTQEUU;2/5/2021
CUST-C6LVM2Q35MAC;7/5/2022
CUST-V3WH289V8WFP;19/10/2022
CUST-MF4CIAJXS5B3;5/12/2020
CUST-4JQLOABUSVKP;11/5/2022
CUST-LLD3AHT960V0;25/11/2022
CUST-1G4I3FY9KFKL;16/10/2021
CUST-BIZOR6CPOP4J;20/7/2024
CUST-NCGM2OJDY1IV;19/12/2020
CUST-6T6C2UOFNRUZ;4/8/2023
CUST-8O1PSSEJ9C6S;16/6/2023
CUST-IBP1WPS4FDJP;12/5/2024
CUST-V625TQ0DIVDJ;10/4/2023
CUST-GI40APZ7ZJZJ;12/11/2020
CUST-L99QEXFV9WTS;14/8/2024
CUST-8XJZ216JHN0A;5/8/2021
CUST-IHKRWKQITGC7;2/4/2022
CUST-NA0KHE4KQKLM;11/2/2020
CUST-2S6HU4MSDC58;9/1/2021
CUST-5WTM3662JRA4;12/1/2020
CUST-9JJ8DPOBG4YR;24/7/2023
CUST-B24HR4L517TY;3/3/2023
CUST-ZEIYK5LGT1HS;30/1/2022
CUST-RP5S7DKH80QT;25/1/2022
CUST-MF3HEA17M7V8;2/3/2021
CUST-1ONJ7ZNXPR49;22/3/2021
CUST-ZC5YWD7JP00G;19/2/2021
CUST-P9LRMYJ4JC2H;24/8/2022
CUST-LVLQ6GYQE13S;13/6/2021
CUST-L0WX63MBDUIL;22/7/2022
CUST-Z1B1EE87TLBF;11/4/2021
CUST-ZDESK5YWIJGP;4/7/2021
CUST-KPXLPI8AR1FQ;24/5/2024
CUST-GTJP4N63T9IG;23/11/2021
CUST-NIN7Z68N71EA;21/4/2024
CUST-ZI2SBLDVDQ7W;8/10/2020
CUST-N2XKKN2EXQ25;7/7/2022
CUST-D9SJHP4B5EMZ;21/1/2020
CUST-JXI1P75D8GQ9;4/4/2024
CUST-0RI37NIYOIN3;13/4/2024
CUST-GOYA1JI07CJH;22/11/2020
CUST-JIY7XG2L8OND;8/4/2022
CUST-IWV59VHXA6K2;26/5/2024
CUST-PKB6BE7Y5D0X;1/5/2024
CUST-7X1QBYLFWJ26;2/2/2023
CUST-NAD626BID1BJ;6/2/2023
CUST-BDW0HDZS7OTV;28/9/2021
CUST-0989T7NYS7MC;24/9/2020
CUST-B5WE2W47NEES;7/2/2022
CUST-5QLR4DBUFULX;18/6/2020
CUST-TDH6CV9E3T9A;25/12/2021
CUST-MLRVF73OMIWL;4/7/2022
CUST-ENHET3DO6149;11/4/2024
CUST-67XXKSM2EJ09;7/7/2020
CUST-A7RDBIAW4ENG;21/6/2022
CUST-EMHY5IYGDSON;5/12/2020
CUST-0RB0X4WTXMHY;31/1/2024
CUST-8E36AR077T3S;17/3/2023
CUST-LTBS2JZQ4FYN;25/9/2021
CUST-J5Y9F6O109GQ;5/5/2022
CUST-1QPUY4PPCR1X;20/12/2021
CUST-NM44X6KE1GUQ;18/1/2023
CUST-7WDV7QW8G8WT;20/1/2020
CUST-UN4TU8BYC8GY;16/4/2020
CUST-D3CR2838IJ77;24/5/2023
CUST-OVRF3BFC49F4;11/4/2023
CUST-5QIXWZV7ONBC;19/12/2021
CUST-4BQT9COX70KL;4/6/2024
CUST-ZD0P19RIKB3B;25/12/2023
CUST-FWE88UY1X9HX;28/6/2024
CUST-3SD2HX0MWBDP;4/2/2020
CUST-9SBDRZ728025;14/8/2024
CUST-NW09I436BFE4;5/11/2022
CUST-XYVN088SORZN;29/3/2024
CUST-B6ZJMMDZA03A;8/9/2023
CUST-AXIFECUD2IRH;19/7/2023
CUST-INCOJEESYPPA;29/9/2023
CUST-JEAGZQ2J58OJ;3/2/2024
CUST-AXE3HTQ1XUDV;30/8/2022
CUST-424DSXTHA9TR;19/9/2023
CUST-KLX4YYWVM5LJ;29/2/2020
CUST-JBMWPJI76T28;15/4/2021
CUST-DU1UPZXSDVG2;21/11/2023
CUST-MQFLBC5OXRZ1;29/4/2023
CUST-VHDU99ARFRKM;26/1/2021
CUST-W9PTLMJSV68D;29/12/2021
CUST-Q5V5A07TQE6Z;20/9/2021
CUST-BYQOZJ5FVO8S;1/2/2024
CUST-FKADSKYYD1YB;7/1/2023
CUST-WXNR2PI2YYSU;28/1/2021
