ean;categorie;rayon;libelle_produit;prix
5026767366043;Produits Secs & Conserves;pates;500g penne rigate panzani;1.24
1002603715237;Produits Secs & Conserves;pates;500g spaghetti panzani;0.84
2113941413715;Produits Secs & Conserves;pates;1kg coquillettes panzani;1.73
2597945667827;Produits Secs & Conserves;pates;1kg spaghetti panzani;1.53
8046456922921;Produits Secs & Conserves;pates;panzani farfalle 500g;1.22
4751738990501;Produits Secs & Conserves;pates;1kg farfalle panzani;1.92
551910881758;Produits Secs & Conserves;pates;400g tagliatelles pates fraich;2.07
6865816645372;Produits Secs & Conserves;pates;400g fettucine pates fraiches;2.07
3930087202824;Produits Secs & Conserves;pates;250g mini gnocchi gd mere;1.13
9793429083469;Produits Secs & Conserves;pates;250g mini coquillettes gd mere;1.17
6867518808435;Produits Secs & Conserves;pates;250g mini pate avions gd mere;1.18
6293799746293;Produits Secs & Conserves;pates;nids 2mm grand mere 250g;1.15
6412794254894;Produits Secs & Conserves;pates;nids 4mm grand mere 250g;1.18
4175097894401;Produits Secs & Conserves;pates;spaghettis grand mere 250 g;1.14
2480959214155;Produits Secs & Conserves;pates;250g macaronis longs gd mere;1.15
6380195266991;Produits Secs & Conserves;pates;macaroni coupe gd mere 250g;1.15
6686768701356;Produits Secs & Conserves;pates;250g coquilles cellos gr mere;1.18
1103153417419;Produits Secs & Conserves;pates;coquillettes grand mere 250g;1.17
4076136975391;Produits Secs & Conserves;pates;250g torsades cellos gr.mere;1.14
8286985683087;Produits Secs & Conserves;pates;papillons grand mere 250g;1.18
834348943613;Produits Secs & Conserves;pates;250g tagliatelles grand mere;1.18
1821733594346;Produits Secs & Conserves;pates;spirales grand mere 250g;1.17
1162266497208;Produits Secs & Conserves;pates;250g pennes grand mere;1.17
7500839760051;Produits Secs & Conserves;pates;500g parpadelles grand mere;2.37
1779685611150;Produits Secs & Conserves;pates;250g pepinettes cellos gr mere;2.12
8855635668141;Produits Secs & Conserves;pates;500g nids tricolores gd mere;2.54
5216486015256;Produits Secs & Conserves;pates;500g knepfle grand mere;2.19
2827647783826;Produits Secs & Conserves;pates;spaetzle grand mere 250g;1.14
3550158646750;Produits Secs & Conserves;pates;400g crozets chanterelle;3.42
